	Integrated [1.02, 1.11] from 2.537 to 6.913 seconds
	Integrated [1.11, 1.20] from 2.537 to 6.935 seconds
	Integrated [1.20, 1.29] from 2.538 to 6.934 seconds
	Integrated [1.29, 1.39] from 2.538 to 6.906 seconds
	Integrated [1.39, 1.48] from 2.540 to 6.945 seconds
	Integrated [1.48, 1.57] from 2.542 to 6.900 seconds
Threadpool with n_jobs=18 executed in 20.76828 seconds, res=1.0000000069982276
	Integrated [0.00, 0.09] from 0.000 to 20.139 seconds
	Integrated [0.09, 0.17] from 0.019 to 17.960 seconds
	Integrated [0.17, 0.26] from 0.044 to 18.154 seconds
	Integrated [0.26, 0.35] from 0.076 to 17.683 seconds
	Integrated [0.35, 0.44] from 0.094 to 19.692 seconds
	Integrated [0.44, 0.52] from 0.151 to 19.011 seconds
	Integrated [0.52, 0.61] from 0.213 to 18.727 seconds
	Integrated [0.61, 0.70] from 0.433 to 19.607 seconds
	Integrated [0.70, 0.79] from 0.526 to 19.563 seconds
	Integrated [0.79, 0.87] from 0.544 to 20.188 seconds
	Integrated [0.87, 0.96] from 0.650 to 19.818 seconds
	Integrated [0.96, 1.05] from 1.005 to 20.658 seconds
	Integrated [1.05, 1.13] from 1.123 to 20.213 seconds
	Integrated [1.13, 1.22] from 1.357 to 20.757 seconds
	Integrated [1.22, 1.31] from 1.448 to 20.767 seconds
	Integrated [1.31, 1.40] from 1.624 to 20.671 seconds
	Integrated [1.40, 1.48] from 1.755 to 20.371 seconds
	Integrated [1.48, 1.57] from 1.917 to 20.227 seconds
Processpool with n_jobs=18 executed in 7.70306 seconds, res=1.0000000069982276
	Integrated [0.00, 0.09] from 2.494 to 6.885 seconds
	Integrated [0.09, 0.17] from 2.548 to 6.865 seconds
	Integrated [0.17, 0.26] from 2.564 to 6.943 seconds
	Integrated [0.26, 0.35] from 2.569 to 6.816 seconds
	Integrated [0.35, 0.44] from 2.608 to 6.893 seconds
	Integrated [0.44, 0.52] from 2.614 to 6.917 seconds
	Integrated [0.52, 0.61] from 2.618 to 6.959 seconds
	Integrated [0.61, 0.70] from 2.620 to 6.860 seconds
	Integrated [0.70, 0.79] from 2.631 to 6.870 seconds
	Integrated [0.79, 0.87] from 2.633 to 7.031 seconds
	Integrated [0.87, 0.96] from 2.643 to 6.965 seconds
	Integrated [0.96, 1.05] from 2.645 to 6.982 seconds
	Integrated [1.05, 1.13] from 2.646 to 6.987 seconds
	Integrated [1.13, 1.22] from 2.649 to 6.946 seconds
	Integrated [1.22, 1.31] from 2.649 to 6.974 seconds
	Integrated [1.31, 1.40] from 2.651 to 6.977 seconds
	Integrated [1.40, 1.48] from 2.654 to 6.987 seconds
	Integrated [1.48, 1.57] from 2.654 to 6.956 seconds
Threadpool with n_jobs=19 executed in 20.74342 seconds, res=1.0000000069982655
	Integrated [0.00, 0.08] from 0.000 to 17.480 seconds
	Integrated [0.08, 0.17] from 0.018 to 18.647 seconds
	Integrated [0.17, 0.25] from 0.042 to 18.673 seconds
	Integrated [0.25, 0.33] from 0.110 to 20.098 seconds
	Integrated [0.33, 0.41] from 0.148 to 20.046 seconds
	Integrated [0.41, 0.50] from 0.228 to 19.749 seconds
	Integrated [0.50, 0.58] from 0.312 to 16.689 seconds
	Integrated [0.58, 0.66] from 0.471 to 20.578 seconds
	Integrated [0.66, 0.74] from 0.509 to 20.238 seconds
	Integrated [0.74, 0.83] from 0.669 to 19.578 seconds
	Integrated [0.83, 0.91] from 1.140 to 20.681 seconds
	Integrated [0.91, 0.99] from 1.194 to 20.545 seconds
	Integrated [0.99, 1.07] from 1.490 to 20.449 seconds
	Integrated [1.07, 1.16] from 1.596 to 20.062 seconds
	Integrated [1.16, 1.24] from 1.846 to 20.743 seconds
	Integrated [1.24, 1.32] from 1.982 to 20.648 seconds
	Integrated [1.32, 1.41] from 2.007 to 20.606 seconds
	Integrated [1.41, 1.49] from 2.148 to 20.329 seconds
	Integrated [1.49, 1.57] from 2.216 to 20.180 seconds
Processpool with n_jobs=19 executed in 7.98061 seconds, res=1.0000000069982655
	Integrated [0.00, 0.08] from 2.686 to 7.152 seconds
	Integrated [0.08, 0.17] from 2.709 to 7.006 seconds
	Integrated [0.17, 0.25] from 2.727 to 7.035 seconds
	Integrated [0.25, 0.33] from 2.736 to 7.126 seconds
	Integrated [0.33, 0.41] from 2.746 to 7.065 seconds
	Integrated [0.41, 0.50] from 2.754 to 7.063 seconds
	Integrated [0.50, 0.58] from 2.777 to 7.053 seconds
	Integrated [0.58, 0.66] from 2.779 to 7.144 seconds
	Integrated [0.66, 0.74] from 2.779 to 7.103 seconds
	Integrated [0.74, 0.83] from 2.814 to 7.224 seconds
	Integrated [0.83, 0.91] from 2.821 to 7.117 seconds
	Integrated [0.91, 0.99] from 2.823 to 7.272 seconds
	Integrated [0.99, 1.07] from 2.826 to 7.141 seconds
	Integrated [1.07, 1.16] from 2.831 to 7.198 seconds
	Integrated [1.16, 1.24] from 2.833 to 7.165 seconds
	Integrated [1.24, 1.32] from 2.834 to 7.222 seconds
	Integrated [1.32, 1.41] from 2.838 to 7.197 seconds
	Integrated [1.41, 1.49] from 2.839 to 7.153 seconds
	Integrated [1.49, 1.57] from 2.839 to 7.256 seconds
Threadpool with n_jobs=20 executed in 21.04680 seconds, res=1.0000000069982364
	Integrated [0.00, 0.08] from 0.000 to 19.285 seconds
	Integrated [0.08, 0.16] from 0.018 to 17.859 seconds
	Integrated [0.16, 0.24] from 0.043 to 18.860 seconds
	Integrated [0.24, 0.31] from 0.087 to 16.914 seconds
	Integrated [0.31, 0.39] from 0.142 to 17.141 seconds
	Integrated [0.39, 0.47] from 0.234 to 20.438 seconds
	Integrated [0.47, 0.55] from 0.290 to 20.377 seconds
	Integrated [0.55, 0.63] from 0.344 to 20.862 seconds
	Integrated [0.63, 0.71] from 0.566 to 19.394 seconds
	Integrated [0.71, 0.79] from 0.616 to 20.340 seconds
	Integrated [0.79, 0.86] from 0.739 to 20.944 seconds
	Integrated [0.86, 0.94] from 1.046 to 21.033 seconds
	Integrated [0.94, 1.02] from 1.230 to 20.823 seconds
	Integrated [1.02, 1.10] from 1.408 to 20.869 seconds
	Integrated [1.10, 1.18] from 1.466 to 20.777 seconds
	Integrated [1.18, 1.26] from 1.523 to 21.046 seconds
	Integrated [1.26, 1.34] from 1.748 to 20.169 seconds
	Integrated [1.34, 1.41] from 1.879 to 20.983 seconds
	Integrated [1.41, 1.49] from 2.118 to 20.900 seconds
	Integrated [1.49, 1.57] from 2.267 to 20.933 seconds
Processpool with n_jobs=20 executed in 7.97743 seconds, res=1.0000000069982364
	Integrated [0.00, 0.08] from 2.818 to 7.041 seconds
	Integrated [0.08, 0.16] from 2.820 to 7.072 seconds
	Integrated [0.16, 0.24] from 2.821 to 7.045 seconds
